Spotify URI,Track Name,Artist Name,Album Name,Disc Number,Track Number,Track Duration (ms),Added By,Added At
"spotify:track:3yvZ1VUso9Xi7EvIyLaj4o","Royals","Lorde","Pure Heroine","1","3","190185","spotify:user:transceend","2017-04-01T20:51:18Z"
"spotify:track:43Ei9NSyEjgFYXoKLISyz4","Magnets","Disclosure, Lorde","Caracal (Deluxe)","1","6","199245","spotify:user:transceend","2017-04-01T20:51:25Z"
"spotify:track:5KcYtdjhsQrNNMjJOSAUEz","Team","Lorde","Pure Heroine","1","6","193058","spotify:user:transceend","2017-04-01T20:51:31Z"
"spotify:track:2v38YLdDpheg1gOX94DcBs","Tennis Court","Lorde","Tennis Court","1","1","198907","spotify:user:transceend","2017-04-01T20:51:37Z"
"spotify:track:19cxRMqCzpYNU4wXcMj8jA","Always on My Mind","Tiki Taane","Past, Present, Future","1","7","176386","spotify:user:transceend","2017-04-01T20:53:48Z"
"spotify:track:3vls6Nh3JXB0a8sIXhnMTo","Fast Times in Tahoe","Elemeno P","Love & Disrespect","1","6","187245","spotify:user:transceend","2017-04-01T20:54:37Z"
"spotify:track:2K6jg5ekcNNw66KDEMvLiO","Sophie","Goodshirt","Good","1","7","222973","spotify:user:transceend","2017-04-01T20:54:50Z"
"spotify:track:5g5oJLyhznFmSvaL8DfQYU","Brother (feat. Gin Wigmore)","Smashproof, Gin Wigmore","The Weekend","1","3","230133","spotify:user:transceend","2017-04-01T20:55:02Z"
"spotify:track:5YNmuCkrnhgMCe4rUd7DVO","In Colour","Shapeshifter","Delta","1","5","232004","spotify:user:transceend","2017-04-01T20:55:44Z"
"spotify:track:4l2RoZrjdAOlgbAsEGa7cK","Electric Dream","Shapeshifter","Soulstice","1","5","340786","spotify:user:transceend","2017-04-01T20:55:56Z"
"spotify:track:5xwWj16DQbummF20EieuPt","Love Your Ways","Salmonella Dub","Inside the Dubplates","1","3","303466","spotify:user:transceend","2017-04-01T20:56:40Z"
"spotify:track:0F45FeDFZRtSVT5DoPmHny","One Day","Opshop","Second Hand Planet","1","11","265000","spotify:user:transceend","2017-04-01T20:57:16Z"
"spotify:track:6LtoeRvVArQGDHqgLEeegU","Misty Frequencies","Ché-Fu","Navigator","1","1","193160","spotify:user:transceend","2017-04-01T20:57:33Z"
"spotify:track:2s9M78CDrQDjB2D827XXr4","Higher","The Naked And Famous","Simple Forms","1","1","230746","spotify:user:transceend","2017-04-01T20:59:19Z"
"spotify:track:6Rub0yVzyuMF8XlPWa5XlG","Hearts Like Ours","The Naked And Famous","In Rolling Waves","1","2","272053","spotify:user:transceend","2017-04-01T20:59:32Z"
"spotify:track:0ZFqkCpQ7YrKAm0528LREE","Young Blood","The Naked And Famous","Young Blood","1","1","232943","spotify:user:transceend","2017-04-01T20:59:37Z"
"spotify:track:6YnUxW8CtOnI6mp3oh61Gr","April Sun In Cuba","Dragon","Sunshine To Rain","1","3","227373","spotify:user:transceend","2017-04-01T21:01:00Z"
"spotify:track:4Vc8S0x1yPmGmlYsFNScEn","I See Red","Split Enz","ExtravagENZa","1","13","259213","spotify:user:transceend","2017-04-01T21:01:27Z"
"spotify:track:3eCkrFzVL9yCp3h7MlsVoL","History Never Repeats","Split Enz","ExtravagENZa","1","23","221600","spotify:user:transceend","2017-04-01T21:01:39Z"
"spotify:track:4TGMrd21ZdMQVN8EZ1Kruk","Anchor Me","The Mutton Birds","Flock : The Best Of The Mutton Birds","1","7","270026","spotify:user:transceend","2017-04-01T21:02:02Z"
"spotify:track:1fiDe8sb2DMEU4JGPOIEB1","Don't Dream It's Over","Crowded House","The Very Very Best Of Crowded House (Deluxe)","2","13","238362","spotify:user:transceend","2017-04-01T21:02:26Z"
"spotify:track:6tXnRSvuNgOq4QcxpIN54r","Weather With You","Crowded House","Woodface","1","5","224466","spotify:user:transceend","2017-04-01T21:02:30Z"
"spotify:track:3dgqKgVifi9TVTUoJ3RXNP","Pacifier","Shihad","Pacifier","1","1","243213","spotify:user:transceend","2017-04-01T21:04:56Z"
"spotify:track:7p7oL6KmS0vBhOMK0hwTUL","Wandering Eye","Fat Freddy's Drop","Based On a True Story","1","8","589640","spotify:user:transceend","2017-04-01T21:35:36Z"
"spotify:track:4gARyOYO3xUFL6KX8wrfIr","Get Away","Katchafire","Best So Far","1","7","210026","spotify:user:transceend","2017-04-01T21:36:24Z"
"spotify:track:3ASP6Fj83osAsLoxfvKqgC","So True","The Black Seeds","On the Sun","1","5","234880","spotify:user:transceend","2017-04-01T21:40:28Z"
"spotify:track:3Mk6k6FibTavTFjnEJZ3KZ","Poi E","Patea Maori Club","Poi E (25th Anniversary Edition)","1","12","229346","spotify:user:transceend","2017-04-01T21:40:43Z"
"spotify:track:46q5BtHso0ECuTKeq70ZhW","How Bizarre","OMC","How Bizarre (Deluxe)","1","2","225699","spotify:user:transceend","2017-04-01T21:40:49Z"
